CODE,FREQUENCY,TIME,Value
PRT,A,2010,10.05313
PRT,A,2011,10.35092
PRT,A,2012,9.41093
PRT,A,2013,9.33048
PRT,A,2014,8.7697
PRT,A,2015,8.8526
PRT,A,2016,8.07712
PRT,A,2017,8.12088
SVK,A,1990,25.47177
SVK,A,1995,23.15847
SVK,A,2000,22.00119
SVK,A,2005,22.26558
SVK,A,2010,21.99084
SVK,A,2011,22.01619
SVK,A,2012,20.10268
SVK,A,2013,19.75295
SVK,A,2014,18.56035
SVK,A,2015,19.16916
SVK,A,2016,17.90478
SVK,A,2017,17.93355
ESP,A,1990,12.0754
ESP,A,1995,11.91163
ESP,A,2000,12.11131
ESP,A,2005,11.95634
ESP,A,2010,11.72598
ESP,A,2011,12.29526
ESP,A,2012,11.43863
ESP,A,2013,10.98741
ESP,A,2014,10.27986
ESP,A,2015,10.67482
ESP,A,2016,9.89562
ESP,A,2017,9.91419
SWE,A,1990,7.64947
SWE,A,1995,7.35937
SWE,A,2000,7.56419
SWE,A,2005,7.12927
SWE,A,2010,7.21877
SWE,A,2011,7.45307
SWE,A,2012,6.61322
SWE,A,2013,6.4197
SWE,A,2014,6.90825
SWE,A,2015,6.28585
SWE,A,2016,6.11175
SWE,A,2017,6.13443
CHE,A,1990,14.27061
CHE,A,1995,13.52322
CHE,A,2000,12.98989
CHE,A,2005,13.02684
CHE,A,2010,13.09833
CHE,A,2011,13.29447
CHE,A,2012,12.52265
CHE,A,2013,12.04835
CHE,A,2014,11.59223
CHE,A,2015,11.35572
CHE,A,2016,10.44713
CHE,A,2017,10.44407
UK,A,1990,13.24545
UK,A,1995,12.7487
UK,A,2000,12.59064
UK,A,2005,12.49076
UK,A,2010,12.3034
UK,A,2011,12.84189
UK,A,2012,11.80623
UK,A,2013,11.60548
UK,A,2014,10.78696
UK,A,2015,10.73807
UK,A,2016,10.48657
UK,A,2017,10.44482
USA,A,1990,9.56131
USA,A,1995,9.43577
USA,A,2000,9.47155
USA,A,2005,9.55296
USA,A,2010,9.29297
USA,A,2011,9.66482
USA,A,2012,8.96083
USA,A,2013,8.67383
USA,A,2014,8.16956
USA,A,2015,8.01888
USA,A,2016,7.37633
USA,A,2017,7.36365
G7M,A,1990,13.36886
G7M,A,1995,12.8724
G7M,A,2000,12.61485
G7M,A,2005,12.57656
G7M,A,2010,12.36629
G7M,A,2011,12.61599
G7M,A,2012,11.67199
G7M,A,2013,11.42797
G7M,A,2014,10.83646
G7M,A,2015,10.81525
G7M,A,2016,10.03798
G7M,A,2017,10.04892
AFG,A,1990,64.05923
AFG,A,1995,63.93765
AFG,A,2000,65.1672
AFG,A,2005,64.98111
AFG,A,2010,66.20995
AFG,A,2011,68.18194
AFG,A,2012,65.88746
AFG,A,2013,62.38391
AFG,A,2014,59.56473
AFG,A,2015,62.1258
AFG,A,2016,57.44235
